iter	Passed	Remaining
0	1	124
1	2	113
2	3	107
3	4	100
4	5	99
5	6	98
6	7	98
7	8	97
8	9	97
9	10	96
10	11	94
11	13	96
12	14	97
13	15	98
14	17	98
15	18	97
16	19	97
17	21	96
18	22	95
19	23	95
20	25	94
21	26	94
22	28	94
23	29	93
24	30	92
25	32	92
26	33	91
27	35	90
28	36	88
29	37	87
30	38	85
31	39	84
32	41	83
33	42	82
34	43	80
35	44	79
36	45	77
37	46	76
38	47	74
39	49	73
40	50	72
41	50	69
42	51	68
43	53	67
44	54	66
45	55	65
46	57	64
47	58	63
48	59	62
49	60	60
50	61	59
51	62	57
52	63	56
53	64	55
54	65	53
55	66	52
56	67	51
57	69	50
58	70	49
59	71	47
60	73	46
61	74	45
62	75	44
63	76	43
64	77	41
65	78	40
66	80	39
67	81	38
68	81	36
69	82	35
70	83	34
71	85	33
72	86	31
73	87	30
74	88	29
75	89	28
76	91	27
77	92	25
78	93	24
79	94	23
80	95	22
81	96	21
82	97	20
83	98	18
84	100	17
85	101	16
86	102	15
87	103	14
88	105	13
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	112	5
95	113	4
96	113	3
97	115	2
98	116	1
99	117	0
