iter	Passed	Remaining
0	167	167447
1	171	85571
2	175	58412
3	180	44831
4	184	36739
5	187	31101
6	191	27212
7	195	24228
8	199	21957
9	203	20145
10	206	18585
11	210	17320
12	213	16179
13	216	15270
14	219	14446
15	223	13759
16	227	13148
17	230	12567
18	234	12097
19	237	11630
20	240	11223
21	243	10821
22	246	10491
23	249	10156
24	253	9870
25	255	9579
26	259	9350
27	262	9113
28	266	8923
29	269	8719
30	272	8525
31	276	8355
32	279	8187
33	282	8020
34	285	7863
35	288	7712
36	291	7588
37	295	7469
38	298	7351
39	301	7237
40	304	7121
41	308	7026
42	310	6914
43	314	6827
44	317	6729
45	320	6649
46	323	6561
47	327	6497
48	330	6419
49	334	6354
50	339	6315
51	342	6244
52	346	6190
53	349	6130
54	353	6066
55	356	6011
56	359	5954
57	362	5892
58	365	5823
59	367	5753
60	370	5698
61	371	5626
62	373	5555
63	375	5498
64	377	5427
65	378	5356
66	379	5290
67	381	5233
68	383	5172
69	384	5107
70	385	5043
71	386	4980
72	387	4920
73	389	4877
74	390	4820
75	391	4763
76	392	4706
77	394	4658
78	395	4612
79	396	4565
80	398	4518
81	399	4467
82	399	4419
83	401	4379
84	403	4342
85	404	4297
86	405	4254
87	406	4215
88	407	4173
89	408	4132
90	409	4091
91	410	4052
92	411	4015
93	412	3979
94	413	3942
95	414	3905
96	415	3868
97	416	3832
98	417	3797
99	418	3765
100	419	3733
101	420	3701
102	421	3670
103	422	3638
104	423	3608
105	424	3582
106	425	3553
107	426	3524
108	427	3497
109	428	3469
110	429	3443
111	431	3421
112	432	3395
113	433	3371
114	434	3346
115	436	3322
116	437	3298
117	438	3276
118	439	3253
119	440	3230
120	441	3208
121	442	3185
122	444	3166
123	445	3145
124	446	3124
125	447	3104
126	448	3082
127	449	3064
128	451	3045
129	452	3026
130	453	3007
131	454	2988
132	455	2970
133	456	2953
134	458	2934
135	459	2916
136	459	2897
137	460	2878
138	462	2862
139	463	2845
140	464	2827
141	464	2808
142	465	2790
143	466	2773
144	467	2756
145	468	2741
146	469	2726
147	470	2709
148	471	2694
149	472	2679
150	473	2664
151	475	2654
152	476	2639
153	477	2624
154	478	2610
155	479	2595
156	480	2581
157	482	2569
158	483	2554
159	483	2540
160	484	2525
161	485	2511
162	486	2497
163	487	2486
164	488	2474
165	490	2461
166	491	2449
167	492	2437
168	493	2426
169	494	2415
170	496	2406
171	497	2394
172	498	2383
173	500	2374
174	501	2363
175	502	2351
176	503	2340
177	504	2328
178	505	2317
179	506	2308
180	507	2298
181	509	2287
182	510	2277
183	511	2266
184	512	2256
185	513	2246
186	514	2236
187	515	2226
188	516	2216
189	517	2206
190	518	2198
191	520	2188
192	521	2178
193	522	2169
194	523	2159
195	524	2150
196	526	2146
197	527	2137
198	528	2128
199	529	2119
200	530	2110
201	532	2103
202	533	2094
203	534	2085
204	535	2076
205	536	2067
206	538	2061
207	539	2054
208	540	2045
209	541	2037
210	542	2029
211	544	2025
212	546	2017
213	547	2009
214	548	2001
215	549	1993
216	551	1991
217	553	1984
218	554	1976
219	555	1967
220	556	1962
221	559	1960
222	560	1952
223	561	1945
224	562	1938
225	564	1933
226	565	1926
227	566	1918
228	567	1911
229	568	1904
230	571	1901
231	572	1895
232	573	1888
233	574	1880
234	577	1878
235	578	1872
236	580	1868
237	582	1866
238	584	1860
239	585	1855
240	587	1850
241	589	1846
242	590	1839
243	591	1833
244	594	1831
245	595	1826
246	597	1820
247	597	1812
248	598	1805
249	600	1802
250	602	1797
251	603	1790
252	604	1783
253	605	1776
254	606	1772
255	607	1766
256	608	1760
257	609	1754
258	610	1747
259	612	1743
260	614	1738
261	615	1732
262	616	1726
263	617	1720
264	619	1717
265	620	1712
266	621	1706
267	622	1700
268	623	1693
269	624	1689
270	626	1685
271	627	1679
272	628	1673
273	629	1667
274	630	1662
275	632	1658
276	633	1653
277	634	1647
278	635	1641
279	635	1635
280	637	1631
281	638	1626
282	639	1620
283	640	1614
284	641	1608
285	642	1603
286	643	1598
287	644	1594
288	646	1589
289	647	1584
290	648	1578
291	649	1574
292	651	1571
293	652	1566
294	653	1561
295	654	1556
296	655	1551
297	656	1547
298	658	1542
299	659	1537
300	660	1532
301	661	1528
302	662	1524
303	663	1519
304	664	1514
305	665	1509
306	666	1504
307	667	1500
308	669	1496
309	670	1491
310	671	1487
311	672	1482
312	673	1478
313	674	1474
314	675	1469
315	676	1465
316	677	1460
317	678	1456
318	680	1451
319	681	1448
320	682	1444
321	683	1440
322	685	1435
323	686	1432
324	687	1428
325	688	1423
326	689	1419
327	690	1415
328	691	1410
329	693	1407
330	694	1402
331	695	1398
332	696	1394
333	697	1390
334	698	1386
335	699	1382
336	700	1378
337	701	1374
338	702	1369
339	703	1365
340	704	1361
341	706	1358
342	707	1354
343	708	1350
344	709	1346
345	710	1342
346	711	1338
347	712	1335
348	713	1331
349	714	1327
350	715	1323
351	716	1319
352	718	1316
353	719	1312
354	720	1309
355	721	1305
356	722	1301
357	723	1297
358	724	1294
359	725	1290
360	726	1286
361	727	1282
362	728	1279
363	730	1275
364	731	1272
365	732	1268
366	733	1264
367	734	1261
368	735	1257
369	736	1254
370	737	1251
371	738	1247
372	739	1243
373	740	1240
374	742	1236
375	743	1233
376	744	1230
377	745	1226
378	746	1223
379	747	1219
380	748	1216
381	749	1213
382	751	1209
383	752	1206
384	753	1202
385	754	1199
386	755	1196
387	756	1193
388	757	1189
389	758	1186
390	759	1183
391	760	1180
392	762	1177
393	763	1174
394	764	1170
395	765	1167
396	766	1164
397	767	1161
398	769	1158
399	770	1155
400	771	1151
401	772	1148
402	773	1145
403	774	1142
404	775	1139
405	776	1136
406	777	1132
407	778	1129
408	779	1126
409	780	1122
410	781	1120
411	782	1117
412	783	1114
413	784	1110
414	785	1107
415	786	1104
416	788	1102
417	789	1099
418	790	1095
419	791	1092
420	792	1089
421	793	1087
422	795	1084
423	795	1081
424	796	1078
425	797	1075
426	798	1072
427	800	1069
428	801	1066
429	802	1063
430	803	1060
431	804	1057
432	805	1054
433	806	1052
434	808	1049
435	809	1046
436	810	1044
437	811	1041
438	813	1039
439	814	1036
440	815	1033
441	816	1030
442	817	1027
443	818	1025
444	819	1022
445	820	1019
446	822	1016
447	822	1014
448	823	1011
449	825	1008
450	826	1006
451	827	1003
452	828	1000
453	829	997
454	831	995
455	832	992
456	833	989
457	834	987
458	835	984
459	836	981
460	837	979
461	838	976
462	839	973
463	840	971
464	841	968
465	842	965
466	843	963
467	845	960
468	846	958
469	847	955
470	848	952
471	849	949
472	850	947
473	851	945
474	852	942
475	853	939
476	854	937
477	855	934
478	857	932
479	858	929
480	859	927
481	860	924
482	861	921
483	862	919
484	863	917
485	864	914
486	865	911
487	866	909
488	867	906
489	868	904
490	869	901
491	870	899
492	871	896
493	872	894
494	873	891
495	875	889
496	876	886
497	877	884
498	878	881
499	879	879
500	880	876
501	881	874
502	882	872
503	883	869
504	885	867
505	885	864
506	886	862
507	888	860
508	889	858
509	890	855
510	891	853
511	892	850
512	894	848
513	895	846
514	896	844
515	897	842
516	898	839
517	899	837
518	901	835
519	902	832
520	903	830
521	904	828
522	905	825
523	906	823
524	907	821
525	908	819
526	909	816
527	910	814
528	911	811
529	913	809
530	914	807
531	915	805
532	916	802
533	917	800
534	918	798
535	919	796
536	920	793
537	921	791
538	922	789
539	923	786
540	924	784
541	926	782
542	927	780
543	928	778
544	929	775
545	930	773
546	931	771
547	932	769
548	933	767
549	934	764
550	935	762
551	936	760
552	938	758
553	939	756
554	940	754
555	941	751
556	942	749
557	943	747
558	944	745
559	945	743
560	946	740
561	947	738
562	948	736
563	949	734
564	951	732
565	952	730
566	953	727
567	954	725
568	955	723
569	956	721
570	957	719
571	958	717
572	959	715
573	960	713
574	961	710
575	963	708
576	964	706
577	965	704
578	966	702
579	967	700
580	968	698
581	970	696
582	971	694
583	972	692
584	973	690
585	974	688
586	975	686
587	976	684
588	977	682
589	978	680
590	979	677
591	980	675
592	981	673
593	983	672
594	984	669
595	985	667
596	986	665
597	987	663
598	988	661
599	989	659
600	991	657
601	992	656
602	993	654
603	995	652
604	996	650
605	997	648
606	999	646
607	1000	645
608	1002	643
609	1003	641
610	1004	639
611	1005	637
612	1008	636
613	1009	634
614	1010	632
615	1011	630
616	1013	628
617	1014	627
618	1015	625
619	1017	623
620	1018	621
621	1019	619
622	1020	617
623	1021	615
624	1022	613
625	1023	611
626	1024	609
627	1025	607
628	1027	605
629	1028	603
630	1028	601
631	1029	599
632	1031	597
633	1032	596
634	1033	594
635	1034	592
636	1035	590
637	1036	588
638	1037	586
639	1038	584
640	1039	582
641	1040	580
642	1041	578
643	1043	576
644	1044	574
645	1046	573
646	1047	571
647	1048	569
648	1049	567
649	1050	565
650	1052	564
651	1053	562
652	1054	560
653	1055	558
654	1055	556
655	1057	554
656	1058	552
657	1059	550
658	1060	548
659	1061	546
660	1062	544
661	1064	543
662	1065	541
663	1066	539
664	1067	537
665	1068	535
666	1069	533
667	1070	532
668	1071	530
669	1072	528
670	1073	526
671	1073	524
672	1074	522
673	1075	520
674	1077	518
675	1078	516
676	1079	515
677	1080	513
678	1081	511
679	1082	509
680	1083	507
681	1084	505
682	1085	503
683	1086	501
684	1087	499
685	1088	498
686	1089	496
687	1090	494
688	1091	492
689	1092	490
690	1093	488
691	1094	487
692	1095	485
693	1096	483
694	1097	481
695	1098	479
696	1099	478
697	1100	476
698	1102	474
699	1103	472
700	1104	470
701	1105	469
702	1106	467
703	1107	465
704	1108	463
705	1109	462
706	1111	460
707	1112	458
708	1113	456
709	1114	455
710	1115	453
711	1116	451
712	1117	449
713	1119	448
714	1120	446
715	1121	444
716	1122	443
717	1123	441
718	1124	439
719	1125	437
720	1126	435
721	1127	434
722	1128	432
723	1129	430
724	1130	428
725	1131	426
726	1132	425
727	1133	423
728	1134	421
729	1135	420
730	1136	418
731	1137	416
732	1138	414
733	1140	413
734	1141	411
735	1142	409
736	1143	407
737	1144	406
738	1145	404
739	1146	402
740	1147	401
741	1148	399
742	1149	397
743	1150	395
744	1151	394
745	1153	392
746	1154	390
747	1155	389
748	1156	387
749	1157	385
750	1158	384
751	1159	382
752	1160	380
753	1161	379
754	1162	377
755	1163	375
756	1165	374
757	1166	372
758	1167	370
759	1168	368
760	1169	367
761	1170	365
762	1171	363
763	1172	362
764	1173	360
765	1174	358
766	1175	357
767	1177	355
768	1178	354
769	1180	352
770	1181	350
771	1182	349
772	1184	347
773	1185	346
774	1186	344
775	1187	342
776	1188	341
777	1189	339
778	1190	337
779	1191	336
780	1192	334
781	1193	332
782	1194	331
783	1195	329
784	1196	327
785	1197	326
786	1198	324
787	1199	322
788	1200	321
789	1202	319
790	1203	317
791	1204	316
792	1205	314
793	1206	312
794	1207	311
795	1208	309
796	1209	308
797	1210	306
798	1211	304
799	1212	303
800	1213	301
801	1214	299
802	1215	298
803	1216	296
804	1217	295
805	1218	293
806	1219	291
807	1221	290
808	1222	288
809	1223	286
810	1224	285
811	1225	283
812	1226	282
813	1227	280
814	1228	278
815	1229	277
816	1231	275
817	1231	274
818	1233	272
819	1234	270
820	1235	269
821	1236	267
822	1237	266
823	1238	264
824	1239	262
825	1241	261
826	1242	259
827	1243	258
828	1244	256
829	1245	255
830	1246	253
831	1247	251
832	1248	250
833	1249	248
834	1251	247
835	1252	245
836	1253	244
837	1255	242
838	1256	241
839	1257	239
840	1258	237
841	1259	236
842	1260	234
843	1261	233
844	1262	231
845	1263	230
846	1265	228
847	1266	226
848	1267	225
849	1268	223
850	1269	222
851	1270	220
852	1272	219
853	1273	217
854	1274	216
855	1275	214
856	1276	213
857	1278	211
858	1279	209
859	1280	208
860	1281	206
861	1282	205
862	1283	203
863	1284	202
864	1285	200
865	1286	199
866	1287	197
867	1288	195
868	1290	194
869	1291	192
870	1292	191
871	1293	189
872	1294	188
873	1295	186
874	1296	185
875	1297	183
876	1298	182
877	1299	180
878	1300	179
879	1301	177
880	1303	176
881	1304	174
882	1305	173
883	1306	171
884	1307	169
885	1308	168
886	1310	166
887	1311	165
888	1312	163
889	1313	162
890	1314	160
891	1315	159
892	1316	157
893	1318	156
894	1319	154
895	1320	153
896	1321	151
897	1323	150
898	1324	148
899	1325	147
900	1326	145
901	1328	144
902	1329	142
903	1330	141
904	1331	139
905	1332	138
906	1334	136
907	1335	135
908	1336	133
909	1337	132
910	1338	130
911	1340	129
912	1341	127
913	1342	126
914	1343	124
915	1345	123
916	1346	121
917	1347	120
918	1349	118
919	1350	117
920	1351	115
921	1352	114
922	1353	112
923	1355	111
924	1356	109
925	1357	108
926	1358	106
